,movie_id,link,review
0,tt0090009,/review/rw0226636/?ref_=tt_urv,"This is an hysterical romp, a mix of Conan and Mad Max, made with a lot of colorful, unfinished ideas, mixed up in a total mess, a bad movie that is fun to watch because you ever know what will come next. In this, it is a great Z-movie, almost fun as Plan 9 from outer space, but if you search for a serious sword and sorcery clone, stay away. For fun of B-movies only"
1,tt0090009,/review/rw2473085/?ref_=tt_urv,"This is exactly what bad movies are supposed to be: a magnificent accident; bizarre; terrible dialog; insipid acting; but most importantly, uncontrived. Not like that Troma crap. Troma wishes its movies were bad, but all I see are contrivances: people who try to pawn off badly made bad movies as something special, like She. She is everything you want and more. Badly executed scenes for even more badly conceived plot points. Terrible costuming including spiked football helmets intended to look ""post- apocalyptic"". Male sexual fantasies enacted on screen, masquerading as female empowerment. But through all of it, an effortless ""badness"" that leaves one questioning, simply, ""how?"". How did this make it to film? How did it actually get made, and who actually looked at the final cut and said 'yep, it's just like I imagined it. Trust me, this is a golden turd. It's the reason we bother to watch terrible movies."
2,tt0090009,/review/rw1493698/?ref_=tt_urv,"Mix together sword-and-sorcery and post-apocalyptic elements, add a dose of political allegory (note the Communist and Nazi symbols), a contemporary music score and some surreal moments that seem to have come straight out of Monty Python (a bridge guard who multiplies every time you chop off one of his limbs) and you have this bizarre film that is neither a straight adventure nor exactly a spoof. It suffers from an overly episodic structure, but it benefits from Sandahl Bergman and Quin Kessler as the two muscular, beautiful Amazon warriors who are as proficient with a sword as with any other weapon. Both actresses are perfectly cast and do their roles justice, capturing the right ""always-ready-for-a-fight"" mentality. How anyone can give this film a ""1"" when there are, at the very least, these two amazing women to look at is beyond me! (**)"
3,tt0090009,/review/rw0226626/?ref_=tt_urv,"I must say that I am starting an unfortunate career of following Sandahl Bergman flicks.  Don't get me wrong...I've enjoyed what I've seen of Ms. Bergman's acting in Hell comes to Frogtown and in this film She(the book is interesting by the way). As long as you're not looking for anything special it's cool. I personally enjoyed it but I was lynched by the 3 friends I made watch it with me.  Especially since the whole movie we were waiting for the plot to resemble anything that the back of the movie box.  It never did.  There was supposed to be this whole plot about the all powerful ""She"" falling for a man who might kill her.  As far as I can tell there was a woman...who was generally referred to as ""She""...and indeed there was a lead male character. But they never so much as looked at each other crosswise.  But hey the real reason to watch the movie is ghouls, the god ""She""(who has no powers as far as I can tell), the other god they meet who actually has powers and wants to ""study"" our heroine, the weird dividable guy(my fav)...it's a labyrinth of weirdness.  I dug it."
4,tt0058379,/review/rw0086251/?ref_=tt_urv,"Godzilla Vs Mothra,the fourth Godzilla film,is regarded by some fans as the best. It doesn't have the power and allegorical elements of the original,yet it doesn't go into outright camp like many of the sequels. The film is colourful,exciting and often witty,yet the fantastical story is handled relatively seriously."
5,tt0058379,/review/rw1397673/?ref_=tt_urv,"As a major fan of the original dark, haunting kaiju movies, I very much enjoy watching ""Godzilla vs. Mothra"" even though I still can't understand why they call Mothra ""the Thing"" (maybe it's just in the Americanized dubbed version)."
6,tt0058379,/review/rw2050123/?ref_=tt_urv,"One of the top G-films most definitely, probably one of the best out of not just the Showa series, but the whole franchise. Its number three on my personal top ten Godzilla film list, right after ""Godzilla vs. Destroyah"" and ""Gojira"". I think it's a great work of classic cinema in general not just as a Japanese giant monster movie. It was the last film before Godzilla began his transformation into a hero and worse in the 70s a child star. It wouldn't be for another 20 years, in 1984's Return of Godzilla"", that the Monster King would go back to his roots. I'm not saying I didn't enjoy some of those films, after all I highly enjoy ""Terror of MechaGodzilla"", and I absolutely adore ""Ghidorah The 3-Headed Monster"" and ""Destroy All Monsters"". But none of those have the effect of this one. Firstly, it was for the most part realistic and didn't have any ridiculous story lines like latter Godzilla films (like ""Godzilla vs. Gigan"" and ""Godzilla vs. Megalon""). Plus it didn't involve aliens (not that I mind that. It's just that after 1968's ""Destroy All Monsters"", it becomes too often a part of the story). The plot is excellent work and the human characters I found entertaining. One of the best parts of the film is when the moral of the movie is exposed as Kenji Sahara's character tries to get away with the money after shooting his supposed business partner Kumayama (played by Yoshibumi Tajima) in the back in cold blood. However, his clean-getaway is inadvertently ruined by Godzilla, who in turn kills him. Director Honda was a World War II veteran, and abhorred violence, and yet we clearly see when Kumayama is shot in the head. It's a graphic type of violence rarely seen in the early films, though shoot outs would become common in the late 60s and 70s era G-films."
7,tt0058379,/review/rw0086245/?ref_=tt_urv,"This is one of the best Godzilla movies ever filmed. This sci-fi flick contains two of Toho Studios' most popular monsters, Godzilla and Mothra, and they come face-to-face in one huge battle. Mothra's egg has been washed ashore in Japan from Infant Island after a hurricane. A greedy businessman claims the egg and the natives of Infant Island desperately seek the egg in return, before it hatches! And, just when you don't need him, Godzilla appears and begins a spree of destruction. This movie has a strong and solid plot, which blends itself in the story very well. There are a cast of bright and delightful characters. Akira Takarada, Yuriko Hoshi, Hiroshi Koizumi, and the Peanuts delivered good on-screen comprehension. And, the US version with the English dubbing is pretty spot on. Ishiro Honda directed a terrific movie and Shinichi Sekizawa gave us an inspiring story. Akira Ifukube composed a beautiful music score, especially his score for the Shobijin, Mothra's Tiny Twin Priestesses. The battles between the monsters and the military are spectacular. This movie is not just another monster-on-the-loose movie, but a film with a message about the consequences of greed and environmental dangers. This is a must-see for any Godzilla fans or merely sci-fi fans in general."
8,tt0058548,/review/rw2191403/?ref_=tt_urv,"This is certainly a consensus pick as one of the worst (if not the worst) movies ever made - and for that very reason I've always wanted to watch it. Now I have, and my suggestion to everyone is - lighten up. Yes, it's bad. The sets are dreadful - worse than you used to see on Saturday morning kids' shows. The special effects are weak - although to be honest I've seen worse portrayals of space flight. And the costumes are hilarious - especially the polar bear and the robot. But come on - you have to admit that there's a certain ""cuteness"" to the story of Martians coming to earth to kidnap Santa Claus so that he can bring happiness to their children. All the characters are pretty one- dimensional. There's good guys and bad guys and fun guys and kids from both Earth and Mars. No one gets particularly well developed. And then, of course, there's Santa. In all honesty, I thought John Call did a decent job as the jolly old man. In this age of high tech special effects and big budget movies there's no doubt that this looks pretty weak - and even by the standards of 1964 it was still pretty weak. But it's good fun, and for the fun alone I don't think it deserves its reputation as one of the worst movies ever. What's left to say, except - ""Hurray for Santy Claus!"" 4/10"
9,tt0058548,/review/rw3167135/?ref_=tt_urv,"Santa Claus Conquers the Martians is a low budget kid's movie from the early 60's. It has a reputation as one of the worst movies ever made. But, similar to most such famously trashed films, it actually turns out to be nowhere near the worst of the worst. More accurately, this could be described as an enjoyable slice of cheese. Sure, its rubbish on several levels but it also happens to be memorable on several other levels."
10,tt0058548,/review/rw3589231/?ref_=tt_urv,BEWARE OF FALSE REVIEWS & REVIEWERS. SOME REVIEWERS HAVE ONLY ONE REVIEW TO THEIR NAME. NOW WHEN ITS A POSITIVE REVIEW THAT TELLS ME THEY WERE INVOLVED WITH THE MOVIE. IF ITS A NEGATIVE REVIEW THEN THEY MIGHT HAVE A GRUDGE AGAINST THE FILM . NOW I HAVE REVIEWED OVER 200 HOLIDAY FILMS. I HAVE NO AGENDA. I AM HONEST
11,tt0058548,/review/rw1067639/?ref_=tt_urv,"Maybe I have a soft spot somewhere in my heart for poorly written, badly conceived, silly 1960s children's movies - but I really can't understand why Santa Claus versus the Martians is in the worst 100 movies of all time here on IMDb. Sure, most viewers will breathe a sigh of relief when it ends, but this film really seems downright harmless compared to the six month old Kennel Ration Hollywood has been feeding us as commercial film for the last ten or so years. Hey, at least it's not a remake, a sequel, or a 2 hour long CGI cartoon with a few human faces tossed in for effect."
